DOI,Title,Authors,Abstract,Journal,Date
10.1038/s41586-025-08728-2,Regulated somatic hypermutation enhances antibody affinity maturation,"Julia Merkenschlager, Andrew G T Pyo, Gabriela S Silva Santos, Dennis Schaefer-Babajew, Melissa Cipolla, Harald Hartweger, Alexander D Gitlin, Ned S Wingreen, Michel C Nussenzweig","Germinal centres are specialized microenvironments where B cells undergo affinity maturation. B cells expressing antibodies whose affinity is improved by somatic hypermutation are selected for expansion by limiting numbers of T follicular helper cells. Cell division is accompanied by mutation of the immunoglobulin genes, at what is believed to be a fixed rate of around 1 × 10-3per base pair per cell division1. As mutagenesis is random, the probability of acquiring deleterious mutations outweighs the probability of acquiring affinity-enhancing mutations. This effect might be heightened, and even become counterproductive, in B cells that express high-affinity antibodies and undergo the greatest number of cell divisions2. Here we experimentally examine a theoretical model that explains how affinity maturation could be optimized by varying the rate of somatic hypermutation such that cells that express higher-affinity antibodies divide more but mutate less per division. Data obtained from mice immunized with SARS-CoV-2 vaccines or a model antigen align with the theoretical model and show that cells producing high-affinity antibodies shorten the G0/G1 phases of the cell cycle and reduce their mutation rates. We propose that these mechanisms safeguard high-affinity B cell lineages and enhance the outcomes of antibody affinity maturation.",Nature,19/03/2025
10.1016/j.neuron.2025.02.017,APOE genotype determines cell-type-specific pathological landscape of Alzheimer's disease,"Zonghua Li, Yuka A Martens, Yingxue Ren, Yunjung Jin, Hiroaki Sekiya, Sydney V Doss, Naomi Kouri, Monica Castanedes-Casey, Trace A Christensen, Lindsay B Miller Nevalainen, Nanaka Takegami, Kai Chen, Chia-Chen Liu, Alexandra Soto-Beasley, Baayla D C Boon, Sydney A Labuzan, Tadafumi C Ikezu, Yixing Chen, Alexander D Bartkowiak, Gisela Xhafkollari, Allison M Wetmore, David A Bennett, Ross R Reichard, Ronald C Petersen, Takahisa Kanekiyo, Owen A Ross, Melissa E Murray, Dennis W Dickson, Guojun Bu, Na Zhao","The apolipoprotein E (APOE) gene is the strongest genetic risk modifier for Alzheimer's disease (AD), with the APOE4 allele increasing risk and APOE2 decreasing it compared with the common APOE3 allele. Using single-nucleus RNA sequencing of the temporal cortex from APOE2 carriers, APOE3 homozygotes, and APOE4 carriers, we found that AD-associated transcriptomic changes were highly APOE genotype dependent. Comparing AD with controls, APOE2 carriers showed upregulated synaptic and myelination-related pathways, preserving synapses and myelination at the protein level. Conversely, these pathways were downregulated in APOE3 homozygotes, resulting in reduced synaptic and myelination proteins. In APOE4 carriers, excitatory neurons displayed reduced synaptic pathways similar to APOE3, but oligodendrocytes showed upregulated myelination pathways like APOE2. However, their synaptic and myelination protein levels remained unchanged or increased. APOE4 carriers also showed increased pro-inflammatory signatures in microglia but reduced responses to amyloid-β pathology. These findings reveal APOE genotype-specific molecular alterations in AD across cell types.",Neuron,11/03/2025
10.1056/NEJMoa2415948,A Randomized Trial of Automated Insulin Delivery in Type 2 Diabetes,"Yogish C Kudva, Dan Raghinaru, John W Lum, Timothy E Graham, David Liljenquist, Elias K Spanakis, Francisco J Pasquel, Andrew Ahmann, David T Ahn, Grazia Aleppo, Thomas Blevins, Davida Kruger, Sue A Brown, Carol J Levy, Ruth S Weinstock, Devin W Steenkamp, Tamara Spaic, Irl B Hirsch, Frances Broyles, Michael R Rickels, Michael A Tsoukas, Philip Raskin, Betul Hatipoglu, Donna Desjardins, Adrienne N Terry, Lakshmi G Singh, Georgia M Davis, Caleb Schmid, Jelena Kravarusic, Kasey Coyne, Luis Casaubon, Valerie Espinosa, Jaye K Jones, Kathleen Estrada, Samina Afreen, Camilla Levister, Grenye O'Malley, Selina L Liu, Sheryl Marks, Amy J Peleckis, Melissa-Rosina Pasqua, Vanessa Tardio, Corey Kurek, Ryan D Luker, Jade Churchill, Farbod Z Tajrishi, Ariel Dean, Brittany Dennis, Evelyn Fronczyk, Jennifer Perez, Shereen Mukhashen, Jasmeen Dhillon, Aslihan Ipek, Suzan Bzdick, Astrid Atakov Castillo, Marsha Driscoll, Xenia Averkiou, Cornelia V Dalton-Bakes, Adelyn Moore, Lin F Jordan, Amanda Lesniak, Jordan E Pinsker, Ravid Sasson-Katchalski, Tiffany Campos, Charles Spanbauer, Lauren Kanapka, Craig Kollman, Roy W Beck, 2IQP Study Group","Background:Automated insulin delivery (AID) systems have been shown to be beneficial for patients with type 1 diabetes, but data are needed from randomized, controlled trials regarding their role in the management of insulin-treated type 2 diabetes.Methods:In this 13-week, multicenter trial, adults with insulin-treated type 2 diabetes were randomly assigned in a 2:1 ratio to receive AID or to continue their pretrial insulin-delivery method (control group); both groups received continuous glucose monitoring (CGM). The primary outcome was the glycated hemoglobin level at 13 weeks.Results:A total of 319 patients underwent randomization. Glycated hemoglobin levels decreased by 0.9 percentage points (from 8.2±1.4% at baseline to 7.3±0.9% at week 13) in the AID group and by 0.3 percentage points (from 8.1±1.2% to 7.7±1.1%) in the control group (mean adjusted difference, -0.6 percentage points; 95% confidence interval [CI], -0.8 to -0.4; P<0.001). The mean percentage of time that patients were in the target glucose range of 70 to 180 mg per deciliter increased from 48±24% to 64±16% in the AID group and from 51±21% to 52±21% in the control group (mean difference, 14 percentage points; 95% CI, 11 to 17; P<0.001). All other multiplicity-controlled CGM outcomes reflective of hyperglycemia that were measured were significantly better in the AID group than in the control group. The frequency of CGM-measured hypoglycemia was low in both groups. A severe hypoglycemia event occurred in one patient in the AID group.Conclusions:In this 13-week, randomized, controlled trial involving adults with insulin-treated type 2 diabetes, AID was associated with a greater reduction in glycated hemoglobin levels than CGM alone. (Funded by Tandem Diabetes Care; 2IQP ClinicalTrials.gov number,NCT05785832.).",N Engl J Med,19/03/2025
10.1038/s41467-025-57879-3,Associations of 2923 plasma proteins with incident inflammatory bowel disease in a prospective cohort study and genetic analysis,"Xuening Zhang, Hao Zhao, Meng Wan, Jinyu Man, Tongchao Zhang, Xiaorong Yang, Ming Lu","The prospective relationship between proteomics and inflammatory bowel disease (IBD) remains largely underexplored, presenting potential of therapeutic interventions. Using data from 48,800 IBD-free participants in the UK Biobank Pharma Proteomics Project (UKB-PPP), we assessed associations between 2923 plasma proteins and incident IBD risk using Cox analysis. Mendelian randomization (MR) meta-analysis, integrating cis-protein quantitative trait loci data from the UKB-PPP with IBD genome-wide association study data from the International Inflammatory Bowel Disease Genetics Consortium and FinnGen studies, identified causal proteins. Colocalization analysis strengthened evidence of shared common causal variants. Cohort study revealed associations of 673, 295, and 125 proteins with the risk of IBD, Crohn's disease (CD), and ulcerative colitis (UC), respectively. MR and colocalization analyses prioritized IL12B, CD6, MXRA8, CXCL9, IFNG, CCN3, RSPO3, and IL18 as having causal and high colocalization evidence with IBD or its subtypes. Our findings advance understanding of IBD's molecular etiology and highlight potential therapeutic targets.",Nat Commun,21/03/2025
10.1080/27697061.2025.2475876,Association of Triglyceride-Glucose-Related Obesity Indices With All-Cause and Cardiovascular Mortality Among Individuals With Hyperuricemia: A Retrospective Cohort Study,"Yong Huang, Ziling Wei, Linfeng Wang, Gaojie Zhang, Guo Yang, Jiang Yu, Qingyu Wu, Jiayu Liu","Objective:This study sought to clarify the relationship between triglyceride-glucose (TyG)-related obesity indices and all-cause and cardiovascular mortality in patients with hyperuricemia (HUA).Method:A total of 4207 patients with HUA from the National Health and Nutrition Examination Survey (NHANES) database were included in this study. Various methods were employed, including weighted multivariate-adjusted Cox regression models, Kaplan-Meier curves, restricted cubic spline, and receiver operating curves.Results:A nonlinear relationship was identified between TyG-related obesity indices and all-cause mortality, while a linear positive relationship was observed for cardiovascular mortality. Among the indices, TyG-ABSI (a body shape index) demonstrated the strongest predictive ability, with areas under the curve for all-cause mortality at 3, 5, and 10 years being 0.638, 0.632, and 0.650, respectively, and for cardiovascular mortality at 3, 5, and 10 years being 0.699, 0.673, and 0.671, respectively. Threshold analysis revealed the potential inflection point (k) of the nonlinear relationship. Subgroup analyses indicated interactions with age, diabetes, or cardiovascular disease. Additionally, serum uric acid was found to partially mediate the association between TyG-derived indices and follow-up time. The results of the sensitivity analysis were consistent with those of the original analysis.Conclusions:TyG-ABSI, which exhibited the best predictive ability, may serve as a valuable biomarker for the long-term follow-up of individuals with HUA.",J Am Nutr Assoc,20/03/2025
10.1182/blood.2024027767,Complementing CD20 antibodies' effector functions,"Jeanette Leusen, Thomas Valerius",No abstract,Blood,20/03/2025
10.1182/blood.2024026236,Clonal hematopoiesis is clonally unrelated to multiple myeloma and is associated with specific microenvironmental changes,"Marta Lionetti, Margherita Scopetti, Antonio Matera, Akihiro Maeda, Alessio Marella, Francesca Lazzaroni, Giancarlo Castellano, Sonia Fabris, Stefania Pioggia, Silvia Lonati, Alfredo Marchetti, Alessandra Cattaneo, Marta Tornese, Antonino Neri Dr, Claudia Leoni, Loredana Pettine, Valentina Traini, Ilaria Silvestris, Marzia Barbieri, Giuseppina Fabbiano, Domenica Ronchetti, Elisa Taiana, Claudio De Magistris, Matteo Claudio Da Via', Francesco Passamonti, Niccolò Bolli","Multiple myeloma (MM) initiation is dictated by genomic events. However, its progression from asymptomatic stages to an aggressive disease that ultimately fails to respond to treatments is also dependent on changes of the tumor microenvironment (TME). Clonal hematopoiesis of indeterminate potential (CHIP) is a prevalent clonal condition of the hematopoietic stem cell whose presence is causally linked to a more inflamed microenvironment. Here, we show in 106 patients with MM that CHIP is frequently co-existing with MM at diagnosis, associates with a more advanced R-ISS stage, higher age and shows a non-significant trend towards lower median hemoglobin. In our cohort the two conditions do not share a clonal origin. Single cell RNA-sequencing in 16 MM patients highlights significant TME changes when CHIP is present: decreased naïve T cells, a pro-inflammatory TME, decreased antigen-presenting function by dendritic cells and expression of exhaustion markers in CD8 cells. Inferred interactions between cell types in CHIP-positive TME suggested that especially monocytes, T cells and clonal plasma cells may have a prominent role in mediating inflammation, immune evasion and pro-survival signals in favor of MM cells. Altogether, our data show that, in the presence of CHIP, the TME of MM at diagnosis is significantly disrupted in line with what usually seen in more advanced disease, with potential translational implications. Our data highlight the relevance of this association and prompt for further studies on the modifier role of CHIP in the MM TME.",Blood,20/03/2025
10.1089/rej.2012.1389,Protective effects of ginger root extract on Alzheimer disease-induced behavioral dysfunction in rats,"Gao-Feng Zeng, Zhi-Yong Zhang, Li Lu, De-Qiang Xiao, Shao-Hui Zong, Jian-Ming He","The aim of this study was to assess the ability of a traditional Chinese medicinal ginger root extract (GRE) to prevent behavioral dysfunction in the Alzheimer disease (AD) rat model. Rat AD models were established by an operation (OP) in which rats were treated with a one-time intra-cerebroventricuIar injection of amyloid β-protein (Aβ) and continuous gavage of aluminum chloride every day for 4 weeks. GRE was administered intra-gastrically to rats. After 35 days, learning and memory were assessed in all of the rats. Brain sections were processed for immunohistochemistry and Hematoxylin & Eosin (H&E) and Nissl staining. The latency to show significant memory deficits was shorter in the group that received OP with a high dose of GRE (HG)(OP+HG) than in the groups that received OP with a low or moderate dose of GRE (LG, MG)(OP+LG, OP+MG) (p<0.05). The expression of superoxide dismutase (SOD) and catalase (CAT) in the OP+MG and OP+LG groups was up-regulated compared to the OP+HG groups (p<0.05). The rats in the OP+HG groups had lower levels of nuclear factor-κB (NF-κB), interleukin-1β (IL-1β), and malondialdehyde (MDA) expression than the rats in the OP+MG and OP+LG groups (p<0.05). This experiment demonstrates that the administration of GRE reverses behavioral dysfunction and prevents AD-like symptoms in our rat model.",Rejuvenation Res,00/00/0000
10.1136/bmj.p2916,De-sludging healthcare systems,Nathan Hodson,No abstract,BMJ,19/12/2023
10.1016/j.ajcnut.2025.03.012,Kangaroo care and the mother-infant dyad: skin-to-skin contact increases human milk transfer in vulnerable infants,Jonathan C K Wells,No abstract,Am J Clin Nutr,18/03/2025
10.1161/CIRCULATIONAHA.124.070286,Nrf3-Mediated Mitochondrial Superoxide Promotes Cardiomyocyte Apoptosis and Impairs Cardiac Functions by Suppressing Pitx2,"Qishan Chen, Ancheng Zheng, Xiaolei Xu, Zhenning Shi, Mei Yang, Shasha Sun, Leyu Wang, Yumeng Wang, Haige Zhao, Qingzhong Xiao, Li Zhang","Background:Myocardial infarction (MI) elicits mitochondria reactive oxygen species (ROS) production and cardiomyocyte (CM) apoptosis. Nrf3 (nuclear factor erythroid 2-related factor 3) has an established role in regulating redox signaling and tissue homeostasis. Here, we aimed to evaluate the role and mechanism of Nrf3 in injury-induced pathological cardiac remodeling.Methods:Global (Nrf3-KO) and CM-specific (Nrf3△CM) Nrf3 knockout mice were subjected to MI or ischemia/reperfusion injury, followed by functional and histopathological analysis. Primary neonatal mouse and rat ventricular myocytes and CMs derived from human induced pluripotent stem cells were used to evaluate the impact of Nrf3 on CM apoptosis and mitochondrial ROS production. Chromatin immunoprecipitation sequencing and immunoprecipitation-mass spectrometry analysis were used to uncover potential targets of Nrf3. MitoParaquat administration and CM-specific adeno-associated virus vectors were used to further confirm thein vivo relevance of the identified signal pathways.Results:Nrf3 was expressed mainly in CMs in healthy human hearts, and an increased level of Nrf3 was observed in CMs within the border zone of infarcted human hearts and murine cardiac tissues after MI. Both global and CM-specific Nrf3 knockout significantly decreased injury-induced mitochondrial ROS production, CM apoptosis, and pathological cardiac remodeling, consequently improving cardiac functions. In addition, cardiac-specific Nrf3 overexpression reversed the ameliorative cardiac phenotypes observed in Nrf3-KO mice. Functional studies showed that Nrf3 promoted neonatal mouse ventricular myocyte, neonatal rat ventricular myocyte, and CMs derived from human induced pluripotent stem cell apoptosis by increasing mitochondrial ROS production. Critically, augmenting mitochondrial ROS with MitoParaquat blunted the beneficial effects of Nrf3 deletion on cardiac function and remodeling. Mechanistically, a redox regulator Pitx2 (paired-like homeodomain transcription factor 2) was identified as one of the main target genes of Nrf3. Specifically, Nrf3 binds toPitx2promoter, where it increases DNA methylation through recruiting heterogeneous nuclear ribonucleoprotein K and DNA-methyltransferase 1 complex, thereby inhibiting Pitx2 expression. CM-specific knockdown of Pitx2 blunted the beneficial effects of Nrf3 deletion on cardiac function and remodeling, and cardiac-specific Pitx2 overexpression attenuated MI-induced mitochondrial ROS production and CM apoptosis, as well as preserved cardiac functions after MI.Conclusions:Nrf3 promotes injury-induced CM apoptosis and deteriorates cardiac functions by increasing mitochondrial ROS production through suppressing Pitx2 expression. Targeting the Nrf3-Pitx2-mitochondrial ROS signal axis may therefore represent a novel therapeutic approach for MI treatment.",Circulation,18/03/2025
10.1038/s41573-025-01158-9,Fibrosis: cross-organ biology and pathways to development of innovative drugs,"Florian Rieder, Laura E Nagy, Toby M Maher, Jörg H W Distler, Rafael Kramann, Boris Hinz, Marco Prunotto","Fibrosis is a pathophysiological mechanism involved in chronic and progressive diseases that results in excessive tissue scarring. Diseases associated with fibrosis include metabolic dysfunction-associated steatohepatitis (MASH), inflammatory bowel diseases (IBDs), chronic kidney disease (CKD), idiopathic pulmonary fibrosis (IPF) and systemic sclerosis (SSc), which are collectively responsible for substantial morbidity and mortality. Although a few drugs with direct antifibrotic activity are approved for pulmonary fibrosis and considerable progress has been made in the understanding of mechanisms of fibrosis, translation of this knowledge into effective therapies continues to be limited and challenging. With the aim of assisting developers of novel antifibrotic drugs, this Review integrates viewpoints of biologists and physician-scientists on core pathways involved in fibrosis across organs, as well as on specific characteristics and approaches to assess therapeutic interventions for fibrotic diseases of the lung, gut, kidney, skin and liver. This discussion is used as a basis to propose strategies to improve the translation of potential antifibrotic therapies.",Nat Rev Drug Discov,18/03/2025
10.1038/s41586-025-08708-6,The somatic mutation landscape of normal gastric epithelium,"Tim H H Coorens, Grace Collord, Hyungchul Jung, Yichen Wang, Luiza Moore, Yvette Hooks, Krishnaa Mahbubani, Simon Y K Law, Helen H N Yan, Siu Tsan Yuen, Kourosh Saeb-Parsy, Peter J Campbell, Iñigo Martincorena, Suet Yi Leung, Michael R Stratton","The landscapes of somatic mutation in normal cells inform us about the processes of mutation and selection operative throughout life, providing insight into normal ageing and the earliest stages of cancer development1. Here, by whole-genome sequencing of 238 microdissections2from 30 individuals, including 18 with gastric cancer, we elucidate the developmental trajectories of normal and malignant gastric epithelium. We find that gastric glands are units of monoclonal cell populations that accrue roughly 28 somatic single-nucleotide variants per year, predominantly attributable to endogenous mutational processes. In individuals with gastric cancer, metaplastic glands often show elevated mutation burdens due to acceleration of mutational processes linked to proliferation and oxidative damage. Unusually for normal cells, gastric epithelial cells often carry recurrent trisomies of specific chromosomes, which are highly enriched in a subset of individuals. Surveying 829 polyclonal gastric microbiopsies by targeted sequencing, we find somatic 'driver' mutations in a distinctive repertoire of known cancer genes, including ARID1A, ARID1B, ARID2, CTNNB1 and KDM6A. The prevalence of mutant clones increases with age to occupy roughly 8% of the gastric epithelial lining by age 60 years and is significantly increased by the presence of severe chronic inflammation. Our findings provide insights into intrinsic and extrinsic influences on somatic evolution in the gastric epithelium in healthy, precancerous and malignant states.",Nature,19/03/2025
10.1126/sciadv.adn8402,AMPK-dependent Parkin activation suppresses macrophage antigen presentation to promote tumor progression,"Xinyu Wang, Yiyi Li, Yan Li, Xiumei Wang, Hongrui Song, Yingzhao Wang, Chunliu Huang, Chengzhou Mao, Lixiang Wang, Cheng Zhong, Di Yu, Zijin Xia, Yongyi Feng, Jingjing Duan, Yujia Liu, Juanjuan Ou, Congzhou Luo, Wenhao Mai, Hai Hong, Weibin Cai, Limin Zheng, Jean-François Trempe, Edward A Fon, Jing Liao, Wei Yi, Jun Chen","The constrained cross-talk between myeloid cells and T cells in the tumor immune microenvironment (TIME) restricts cancer immunotherapy efficacy, whereas the underlying mechanism remains elusive. Parkin, an E3 ubiquitin ligase renowned for mitochondrial quality control, has emerged as a regulator of immune response. Here, we show that both systemic and macrophage-specific ablations of Parkin in mice lead to attenuated tumor progression and prolonged mouse survival. By single-cell RNA-seq and flow cytometry, we demonstrate that Parkin deficiency reshapes the TIME through activating both innate and adaptive immunities to control tumor progression and recurrence. Mechanistically, Parkin activation by AMP-activated protein kinase rather than PTEN-induced kinase 1 mediated major histocompatibility complex I down-regulation on macrophages via Autophagy related 5-dependent autophagy. Furthermore, Parkin deletion synergizes with immune checkpoint blockade treatment andPark2-/-signature aids in predicting the prognosis of patients with solid tumor. Our findings uncover Parkin's involvement in suppressing macrophage antigen presentation for coordinating the cross-talk between macrophages and T cells.",Sci Adv,21/03/2025
10.1038/s41591-025-03592-z,Single-cell profiling of the human endometrium in polycystic ovary syndrome,"Gustaw Eriksson, Congru Li, Tina Gorsek Sparovec, Anja Dekanski, Sara Torstensson, Sanjiv Risal, Claes Ohlsson, Angelica Lindén Hirschberg, Sophie Petropoulos, Qiaolin Deng, Elisabet Stener-Victorin","Polycystic ovary syndrome (PCOS) has a negative effect on the receptivity of the endometrium to embryo implantation and increases the risk of miscarriage and endometrial cancer. The cellular and molecular heterogeneity of the endometrium in women with PCOS has not been well studied. Our study presents a comprehensive cellular atlas of the endometrium during the proliferative phase in women with PCOS characterized by overweight and obesity, hyperandrogenism and insulin resistance compared with controls of similar age, weight and body mass index. Analysis of 247,791 isolated endometrial nuclei from 27 biopsies (5 controls and 12 PCOS cases at baseline and 7 after 16 weeks of metformin and 3 after lifestyle intervention) revealed cell-type-specific disease signatures and variations in cellular composition and localization. Samples taken after 16 weeks of metformin treatment and lifestyle management showed extensive recovery of disease-specific endometrial signatures. We linked the specific role of each cell type to clinical features such as hyperandrogenism and insulin resistance, and specific cell types to risk of endometrial and metabolic disease. In addition, potential therapeutic targets such as integrin inhibitors were identified and the role of metformin in restoring endometrial health in patients with PCOS was highlighted. Our findings lay the groundwork to significantly advance the understanding of PCOS-specific endometrial dysfunction for future targeted therapies.",Nat Med,20/03/2025
10.1001/jama.2025.3169,Inhaled Sedation in Acute Respiratory Distress Syndrome: The SESAR Randomized Clinical Trial,"Matthieu Jabaudon, Jean-Pierre Quenot, Julio Badie, Jules Audard, Samir Jaber, Benjamin Rieu, Caroline Varillon, Antoine Monsel, François Thouy, Julien Lorber, Joël Cousson, Stéphanie Bulyez, Jérémy Bourenne, Ghada Sboui, Claire Lhommet, Virginie Lemiale, Belaïd Bouhemad, Clément Brault, Sigismond Lasocki, François Legay, Thomas Lebouvier, Arthur Durand, Julien Pottecher, Alexandre Conia, Delphine Brégeaud, Lionel Velly, Arnaud W Thille, Fabien Lambiotte, Erwan L'Her, Mehran Monchi, Antoine Roquilly, Aziz Berrouba, Franck Verdonk, Russell Chabanne, Thomas Godet, Marc Garnier, Raiko Blondonnet, Jérémy Vernhes, Vincent Sapin, Lucile Borao, Emmanuel Futier, Bruno Pereira, Jean-Michel Constantin, SESAR Trial Investigators","Importance:Whether the use of inhaled or intravenous sedation affects outcomes differentially in mechanically ventilated adults with acute respiratory distress syndrome (ARDS) is unknown.Objective:To determine the efficacy and safety of inhaled sevoflurane compared with intravenous propofol for sedation in patients with ARDS.Design, setting, and participants:Phase 3 randomized, open-label, assessor-blinded clinical trial conducted from May 2020 to October 2023 with 90-day follow-up. Adults with early moderate to severe ARDS (defined by a ratio of Pao2 to the fraction of inspired oxygen of <150 mm Hg with a positive end-expiratory pressure of ≥8 cm H2O) were enrolled in 37 French intensive care units.Interventions:Patients were randomized to a strategy of inhaled sedation with sevoflurane (intervention group) or to a strategy of intravenous sedation with propofol (control group) for up to 7 days.Main outcomes and measures:The primary end point was the number of ventilator-free days at 28 days; the key secondary end point was 90-day survival.Results:Of 687 patients enrolled (mean [SD] age, 65 [12] years; 30% female), 346 were randomized to sevoflurane and 341 to propofol. The median total duration of sedation was 7 days (IQR, 4 to 7) in both groups. The number of ventilator-free days through day 28 was 0.0 days (IQR, 0.0 to 11.9) in the sevoflurane group and 0.0 days (IQR, 0.0 to 18.7) in the propofol group (median difference, -2.1 [95% CI, -3.6 to -0.7]; standardized hazard ratio, 0.76 [95% CI, 0.50 to 0.97]). The 90-day survival rates were 47.1% and 55.7% in the sevoflurane and propofol groups, respectively (hazard ratio, 1.31 [95% CI, 1.05 to 1.62]). Among 4 secondary outcomes, sevoflurane was associated with higher 7-day mortality (19.4% vs 13.5%, respectively; relative risk, 1.44 [95% CI, 1.02 to 2.03]) and fewer intensive care unit-free days through day 28 (median, 0.0 [IQR, 0.0 to 6.0] vs 0.0 [IQR, 0.0 to 15.0]; median difference, -2.5 [95% CI, -3.7 to -1.4]) compared with propofol.Conclusions and relevance:Among patients with moderate to severe ARDS, inhaled sedation with sevoflurane resulted in fewer ventilator-free days at day 28 and lower 90-day survival than sedation with propofol.Trial registration:ClinicalTrials.gov Identifier:NCT04235608.",JAMA,18/03/2025
